# Coverage report (regenerated)

Spec: App Store Connect API 4.3 (title: App Store Connect API)
Total operations in spec:   1208
Tools emitted:              1208
Deprecated (still emitted): 153
Skipped:                    0
Tags:                       191

| # | Tag | Tools | File |
|---|---|---|---|
| 1 | Apps | 86 | `apps.ts` |
| 2 | GameCenterDetails | 42 | `game-center-details.ts` |
| 3 | AppStoreVersions | 30 | `app-store-versions.ts` |
| 4 | Builds | 30 | `builds.ts` |
| 5 | GameCenterGroups | 29 | `game-center-groups.ts` |
| 6 | Subscriptions | 28 | `subscriptions.ts` |
| 7 | GameCenterLeaderboardSets | 27 | `game-center-leaderboard-sets.ts` |
| 8 | InAppPurchases | 23 | `in-app-purchases.ts` |
| 9 | BetaGroups | 21 | `beta-groups.ts` |
| 10 | GameCenterLeaderboards | 21 | `game-center-leaderboards.ts` |
| 11 | AppInfos | 20 | `app-infos.ts` |
| 12 | GameCenterAchievements | 19 | `game-center-achievements.ts` |
| 13 | BetaTesters | 16 | `beta-testers.ts` |
| 14 | GameCenterAchievementLocalizations | 14 | `game-center-achievement-localizations.ts` |
| 15 | GameCenterActivities | 14 | `game-center-activities.ts` |
| 16 | CiProducts | 13 | `ci-products.ts` |
| 17 | AppCustomProductPageLocalizations | 12 | `app-custom-product-page-localizations.ts` |
| 18 | AppStoreVersionExperiments | 12 | `app-store-version-experiments.ts` |
| 19 | AppStoreVersionLocalizations | 12 | `app-store-version-localizations.ts` |
| 20 | GameCenterLeaderboardLocalizations | 12 | `game-center-leaderboard-localizations.ts` |
| 21 | GameCenterLeaderboardSetLocalizations | 12 | `game-center-leaderboard-set-localizations.ts` |
| 22 | AppClipDefaultExperiences | 11 | `app-clip-default-experiences.ts` |
| 23 | BundleIds | 11 | `bundle-ids.ts` |
| 24 | GameCenterMatchmakingRuleSets | 11 | `game-center-matchmaking-rule-sets.ts` |
| 25 | GameCenterMatchmakingQueues | 10 | `game-center-matchmaking-queues.ts` |
| 26 | Profiles | 10 | `profiles.ts` |
| 27 | CiBuildActions | 9 | `ci-build-actions.ts` |
| 28 | GameCenterAppVersions | 9 | `game-center-app-versions.ts` |
| 29 | InAppPurchaseOfferCodes | 9 | `in-app-purchase-offer-codes.ts` |
| 30 | SubscriptionOfferCodes | 9 | `subscription-offer-codes.ts` |
| 31 | Users | 9 | `users.ts` |
| 32 | AppEncryptionDeclarations | 8 | `app-encryption-declarations.ts` |
| 33 | AppEventLocalizations | 8 | `app-event-localizations.ts` |
| 34 | AppPriceSchedules | 8 | `app-price-schedules.ts` |
| 35 | CiWorkflows | 8 | `ci-workflows.ts` |
